,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
0,USW00093738,2015-01-01,6.93,0.0,0.0,28,42,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,USW00093738,2015-01-02,0.45,0.0,0.0,32,44,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,USW00093738,2015-01-03,2.01,0.56,0.0,33,38,24,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,USW00093738,2015-01-04,12.75,0.28,0.0,46,60,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,USW00093738,2015-01-05,16.11,0.0,0.0,40,46,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,USW00093738,2015-01-06,3.58,0.28,4.2,24,28,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,USW00093738,2015-01-07,13.42,0.0,0.0,18,22,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,USW00093738,2015-01-08,9.4,0.0,0.0,11,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,USW00093738,2015-01-09,10.74,0.0,0.0,26,36,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,USW00093738,2015-01-10,5.14,0.0,0.0,20,25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,USW00093738,2015-01-11,3.13,0.0,0.0,19,39,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,USW00093738,2015-01-12,4.47,0.62,0.0,34,38,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,USW00093738,2015-01-13,11.41,0.0,0.0,33,38,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,USW00093738,2015-01-14,6.49,0.0,0.0,24,28,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,USW00093738,2015-01-15,2.68,0.0,0.0,30,36,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,USW00093738,2015-01-16,8.72,0.0,0.0,29,42,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,USW00093738,2015-01-17,6.93,0.0,0.0,30,37,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,USW00093738,2015-01-18,5.14,0.0,0.0,35,43,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,USW00093738,2015-01-19,6.26,0.0,0.0,39,46,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,USW00093738,2015-01-20,1.34,0.0,0.0,32,46,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,USW00093738,2015-01-21,1.57,0.16,2.2,30,33,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,USW00093738,2015-01-22,7.83,0.01,0.0,35,44,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22,USW00093738,2015-01-23,4.7,0.68,0.3,33,40,23,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,USW00093738,2015-01-24,9.17,0.37,0.0,35,42,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,USW00093738,2015-01-25,4.25,0.0,0.0,39,47,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,USW00093738,2015-01-26,10.29,0.23,1.7,37,43,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,USW00093738,2015-01-27,15.66,0.02,0.2,28,32,26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,USW00093738,2015-01-28,11.86,0.0,0.0,27,35,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,USW00093738,2015-01-29,5.37,0.05,0.1,24,36,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,USW00093738,2015-01-30,18.34,0.0,0.0,35,39,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,USW00093738,2015-01-31,9.4,0.0,0.0,23,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,USW00093738,2015-02-01,4.92,0.05,0.0,28,41,18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,USW00093738,2015-02-02,13.87,0.15,0.0,37,47,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,USW00093738,2015-02-03,7.61,0.0,0.0,26,36,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,USW00093738,2015-02-04,6.93,0.0,0.0,34,54,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,USW00093738,2015-02-05,16.55,0.0,0.0,35,41,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,USW00093738,2015-02-06,5.82,0.0,0.0,21,36,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,USW00093738,2015-02-07,2.46,0.0,0.0,31,47,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,USW00093738,2015-02-08,3.8,0.0,0.0,38,60,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
